StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,Manager Name
The Elegant Cabinet,Exclusive,2024-10-12,85646 Brittany Ports Apt. 391 North Zachary  GU 71880,North Wayne,California,Cape Verde,East,Michael
The Trendy Boutique,SMB,2001-03-08,6289 Molly Stravenue Suite 323 West Jeffreyview  LA 41358,Adrianmouth,Rhode Island,Guinea,South,Norman
The Urban Hub,MBO,1980-05-03,75950 Glass Lights Robertstad  UT 16452,Suzannemouth,West Virginia,Monaco,North,Justin
The Happy Perfection,Exclusive,2010-01-06,31207 John Lane Suite 813 North Alex  GU 26309,Rodriguezburgh,North Dakota,Wallis and Futuna,North,Garrett
The Trendy Perfection,SMB,1990-06-16,USNS Ferguson FPO AE 58200,North Lindsaymouth,Maine,Bhutan,South,Lauren
The Stylish Vault,SMB,2016-10-04,19804 Johnson Inlet Terryfort  GA 72258,West Carl,Tennessee,Equatorial Guinea,East,Lisa
The Unique Finds,MBO,2018-05-17,480 Jimenez Branch Apt. 842 South Tylerfort  WA 56928,North Kathleenport,Idaho,Congo,West,Susan
The Modern Deals,MBO,1991-09-26,3243 Nina Camp Suite 264 Bakerside  NE 67708,South Ashleybury,New Mexico,Kiribati,South,Brandon
The Cozy Marvels,Outlet Stores,1994-04-30,402 Johnson Creek South Mary  RI 58031,East Tommyburgh,Alabama,Papua New Guinea,South,Karen
The Majestic Quest,Outlet Stores,2011-02-06,4965 Ward Green Apt. 024 West Jonathon  ID 16577,South James,Illinois,Nepal,North,Joshua
The Urban Hub,MBO,1992-03-17,084 Mclean Ferry South Matthewland  NH 61362,New Karen,Alabama,India,North,Ryan
